"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
755.5448,-861.3646,0.83646,-0.20911,-0.20911,1.2326,0.98454,0.00023481,-5,0.00023849,0.00011026,0.0043455,0.16222,1.6892,0.31199,58.7309,42.0662,-5,0,0.55,0.76788,0.71625,0.091433,0.233,0.091433,1.8496,0.43184,
324.8625,-861.3646,2.3084,-0.7862,-0.99532,2.7056,0.98454,0.00023481,-4.5,,0.00011026,,,,,,,-4.5,0,,,,1.4949,1.8834,0.233,1.5633,0.20303,
139.7829,-370.1591,2.2544,-1.1407,-2.136,8.4655,2.7928,0.00066605,-4,,0.00035362,,,,,,,-4,0,,,,0.19209,0.43189,0.22272,1.4949,0.23667,
60.2476,-159.0706,2.1802,-1.1086,-3.2446,25.6525,8.5295,0.0020342,-3.5,,0.0012265,,,,,,,-3.5,0,,,,,,0.11387,1.8834,0.38147,
26.0685,-68.3583,2.0739,-1.0635,-4.3082,74.3045,24.9892,0.0059597,-3,,0.0040635,,,,,,,-3,0,,,,,,0.23182,1.5845,0.19209,
11.3805,-29.376,1.9153,-0.99731,-5.3055,201.4375,68.9355,0.016441,-2.5,,0.012562,,,,,,,-2.5,0,,,,,,0.097851,1.7984,0.43189,
5.0685,-12.6239,1.6764,-0.89792,-6.2034,494.4291,173.9667,0.04149,-2,,0.023936,,,,,,,-2,0.010989,,,,,,,,,
2.356,-5.4249,1.3462,-0.75565,-6.959,1052.6319,386.7653,0.092241,-1.5,,-0.036072,,,,,,,-1.5,0.11978,,,,,,,,,
1.1904,-2.3313,1.2244,-0.64264,-7.6017,2001.5811,763.5533,0.1821,-1,,-0.026867,,,,,,,-1,0.20989,,,,,,,,,
0.68947,-1.0018,-1.2592,0.0086991,-7.593,1984.2447,996.4565,0.23765,-0.5,,0.013898,,,,,,,-0.5,0.22637,,,,,,,,,
0.47421,-0.43053,-1.1081,0.5918,-7.0012,1097.9377,770.5456,0.18377,0,,-0.0064443,,,,,,,0,0.17692,,,,,,,,,
0.3817,-0.18501,-1.2497,0.58944,-6.4117,608.9567,426.7236,0.10177,0.5,,-0.02397,,,,,,,0.5,0.11209,,,,,,,,,
0.34195,-0.079507,-1.2277,0.61935,-5.7924,327.7969,234.1884,0.055852,1,,-0.018195,,,,,,,1,0.072527,,,,,,,,,
0.32487,-0.034167,-1.116,0.58592,-5.2065,182.4493,127.5615,0.030422,1.5,,0.0026866,,,,,,,1.5,0.032967,,,,,,,,,
0.31753,-0.014683,-0.98424,0.52505,-4.6814,107.9229,72.5931,0.017313,2,,0.011652,,,,,,,2,0.013187,,,,,,,,,
0.31437,-0.0063097,-0.86301,0.46181,-4.2196,68.0065,43.9824,0.010489,2.5,,0.0072486,,,,,,,2.5,0.010989,,,,,,,,,
0.31302,-0.0027115,-0.76043,0.40586,-3.8137,45.3197,28.3316,0.0067569,3,,0.0051865,,,,,,,3,0.0087912,,,,,,,,,
0.31243,-0.0011652,-0.676,0.35911,-3.4546,31.6467,19.2416,0.004589,3.5,,0.0088866,,,,,,,3.5,0.0021978,,,,,,,,,
0.31218,-0.00050074,-0.60677,0.32069,-3.1339,22.9643,13.6527,0.0032561,4,,0.0079323,,,,,,,4,0.0010989,,,,,,,,,
0.31207,-0.00021519,-0.54965,0.2891,-2.8448,17.1987,10.0408,0.0023946,4.5,,0.005322,,,,,,,4.5,0.0021978,,,,,,,,,
0.31203,-9.2473e-05,-0.50201,0.26291,-2.5819,13.2225,7.6053,0.0018138,5,,0.0063731,,,,,,,5,0,,,,,,,,,
0.31201,-3.9739e-05,-0.46182,0.24096,-2.341,10.3912,5.9034,0.0014079,5.5,,,,,,,,,,,,,,,,,,,
0.312,-1.7077e-05,-0.42752,0.22233,-2.1186,8.3197,4.6777,0.0011156,6,,,,,,,,,,,,,,,,,,,

