"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
642.9503,-708.1715,0.8193,-0.20482,-0.20482,1.2273,0.94871,0.00035607,-5,0.00037532,0.00015093,0.0040687,0.21433,1.6012,0.25141,62.4464,41.9995,-5,0,0.55,0.81776,0.67257,0.13672,0.29195,0.13672,1.7867,0.36878,
288.8645,-708.1715,2.1332,-0.73812,-0.94294,2.5675,0.94871,0.00035607,-4.5,,0.00015093,,,,,,,-4.5,0,,,,1.411,1.7913,0.29195,1.4696,0.14009,
129.8573,-318.0146,2.0843,-1.0544,-1.9973,7.3692,2.4842,0.00093237,-4,,0.000453,,,,,,,-4,0,,,,0.13391,0.36891,0.29125,1.411,0.15999,
58.4528,-142.809,2.0181,-1.0256,-3.0229,20.5506,6.98,0.0026197,-3.5,,0.0014686,,,,,,,-3.5,0,,,,,,0.15622,1.7913,0.32813,
26.3876,-64.1304,1.9248,-0.98572,-4.0086,55.0704,18.9052,0.0070956,-3,,0.0045758,,,,,,,-3,0,,,,,,0.28862,1.4913,0.13391,
11.9882,-28.7987,1.7889,-0.92843,-4.937,139.3578,48.607,0.018243,-2.5,,0.013445,,,,,,,-2.5,0,,,,,,0.14493,1.7279,0.36891,
5.522,-12.9325,1.5876,-0.84413,-5.7812,324.1382,115.874,0.04349,-2,,0.019015,,,,,,,-2,0.017137,,,,,,,,,
2.6182,-5.8075,1.3047,-0.72307,-6.5042,667.965,248.0258,0.09309,-1.5,,-0.040002,,,,,,,-1.5,0.12548,,,,,,,,,
1.3143,-2.6079,1.0913,-0.59899,-7.1032,1215.8815,470.9616,0.17676,-1,,-0.019254,,,,,,,-1,0.19735,,,,,,,,,
0.7287,-1.1711,-1.0311,-0.015057,-7.1183,1234.3281,612.5524,0.22991,-0.5,,0.021591,,,,,,,-0.5,0.20951,,,,,,,,,
0.46574,-0.52591,-0.95645,0.49688,-6.6214,750.9984,496.3316,0.18628,0,,-0.025103,,,,,,,0,0.1979,,,,,,,,,
0.34766,-0.23617,-1.2775,0.5585,-6.0629,429.6222,295.1552,0.11078,0.5,,-0.014502,,,,,,,0.5,0.11222,,,,,,,,,
0.29463,-0.10606,-1.3904,0.66699,-5.3959,220.5051,162.5318,0.061002,1,,-0.0022578,,,,,,,1,0.062465,,,,,,,,,
0.27082,-0.047626,-1.3397,0.68251,-4.7134,111.4311,82.9841,0.031146,1.5,,0.0022861,,,,,,,1.5,0.035379,,,,,,,,,
0.26012,-0.021387,-1.2192,0.63972,-4.0737,58.7734,42.5511,0.01597,2,,0.0041675,,,,,,,2,0.020453,,,,,,,,,
0.25532,-0.0096041,-1.0866,0.57645,-3.4972,33.0242,22.9494,0.0086134,2.5,,0.0070031,,,,,,,2.5,0.0099502,,,,,,,,,
0.25317,-0.0043129,-0.96522,0.51295,-2.9843,19.7725,13.1992,0.004954,3,,0.0072705,,,,,,,3,0.0049751,,,,,,,,,
0.2522,-0.0019368,-0.86131,0.45663,-2.5277,12.5241,8.0742,0.0030304,3.5,,0.0053384,,,,,,,3.5,0.0038695,,,,,,,,,
0.25176,-0.00086973,-0.77434,0.40891,-2.1187,8.3207,5.2112,0.0019559,4,,0.0049435,,,,,,,4,0.0022112,,,,,,,,,
0.25157,-0.00039056,-0.70179,0.36903,-1.7497,5.7529,3.5184,0.0013205,4.5,,0.0046038,,,,,,,4.5,0.0011056,,,,,,,,,
0.25148,-0.00017539,-0.64095,0.33568,-1.414,4.1125,2.4664,0.00092568,5,,0.0046567,,,,,,,5,0,,,,,,,,,
0.25144,-7.8761e-05,-0.58948,0.30761,-1.1064,3.0235,1.784,0.00066958,5.5,,,,,,,,,,,,,,,,,,,
0.25142,-3.5369e-05,-0.54551,0.28375,-0.82267,2.2766,1.325,0.00049731,6,,,,,,,,,,,,,,,,,,,

