 ,Area,Mean,Min,Max,Angle,Length
1,42.466,63.124,13.420,174.423,14.162,193.909
2,18.985,96.717,13.667,162.711,19.625,86.671
3,19.177,86.473,38.375,154.048,169.477,87.467
4,8.369,147.012,27.806,199.600,163.648,38.084
5,4.208,121.521,53.848,166.197,-38.047,19.133
6,16.403,153.108,59.668,204.843,74.216,74.838
7,21.950,120.550,37.255,199.589,-4.380,100.221
8,6.599,75.629,16.376,128.730,104.340,29.974
9,2.487,138.125,28.653,171.126,-28.610,11.064
10,2.056,86.336,23.838,160.649,-21.038,9.181
11,4.256,111.769,48.553,173.109,0.000,19.343
12,8.321,125.347,32.494,189.932,-159.989,37.734
13,4.974,108.381,31.460,160.231,115.084,22.592
14,10.138,107.862,46.473,146.614,-118.025,46.146
15,16.116,147.529,19.182,191.044,-52.140,73.514
16,16.881,129.793,36.755,187.825,24.821,76.930
17,15.016,131.682,31.654,184.668,-120.177,68.379
18,5.786,87.988,16.446,127.513,80.853,26.146
19,7.078,122.156,17.540,163.419,13.753,32.059
20,4.830,119.785,64.371,190.303,79.028,21.918
21,18.172,100.101,44.611,172.268,-18.912,82.919
22,6.982,140.675,39.221,164.986,-54.878,31.605
23,15.733,125.203,20.977,192.209,81.426,71.734
24,1.435,129.830,80.026,174.044,180.000,6.448
25,4.878,80.335,25.032,150.180,-29.110,22.128
26,4.782,120.064,22.870,172.986,81.298,21.733
27,3.395,114.611,20.649,159.773,167.735,15.386
28,5.117,147.691,127.080,164.996,123.840,23.247
29,1.769,155.465,129.899,167.291,-106.390,7.823
30,5.356,150.787,97.974,186.856,41.379,24.363
31,20.420,147.885,36.765,197.027,-73.223,93.151
32,4.208,132.328,36.741,162.205,128.454,19.133
33,10.282,118.197,89.508,165.650,-67.153,46.705
34,2.487,100.926,17.709,155.616,74.358,11.219
35,3.108,105.220,33.967,137.755,0.000,13.970
36,5.786,114.879,32.943,160.490,55.516,26.235
37,3.204,130.458,54.794,167.125,137.437,14.457
38,3.348,151.111,31.732,202.420,-98.246,15.197
39,29.363,61.043,18.404,152.603,74.170,134.029
40,23.911,132.217,24.770,202.098,-96.328,109.177
41,9.947,118.231,19.738,189.477,-53.627,45.350
42,10.186,82.165,49.328,137.406,92.713,46.258
43,3.921,101.236,49.257,150.204,37.439,17.625
44,3.013,159.008,68.850,194.276,60.945,13.465
45,3.634,128.344,50.907,186.494,-66.501,16.368
46,2.678,113.791,24.232,159.682,-63.905,12.014
47,1.243,143.485,93.484,185.366,143.616,5.373
48,5.547,144.400,28.941,170.359,46.757,25.087
49,1.435,147.403,97.543,187.674,180.000,6.448
50,4.734,129.559,40.624,178.039,-49.145,21.330
51,16.020,94.073,20.873,173.343,-24.345,73.105
52,11.429,77.756,18.771,180.213,-7.245,51.983
53,4.495,87.347,62.657,123.038,32.137,20.276
54,2.869,139.387,39.147,173.909,156.038,12.985
55,22.142,110.811,18.226,182.725,29.344,101.036
56,14.777,116.238,43.464,185.957,-77.187,67.255
57,11.908,123.133,39.527,188.241,-65.499,54.339
58,4.304,114.291,39.872,151.567,84.226,19.462
59,10.234,107.707,34.687,153.749,49.779,46.507
60,21.520,84.013,32.507,152.454,-52.952,98.219
61,7.173,119.640,9.889,178.006,145.989,32.488
62,8.847,113.436,69.658,166.406,138.289,40.337
63,10.617,98.549,12.856,154.476,106.798,48.274
64,10.377,84.867,54.545,146.463,140.431,47.332
65,5.930,105.422,19.060,153.938,-87.653,26.887
66,3.252,134.729,34.715,198.644,107.354,14.616
67,5.691,143.346,102.634,184.919,106.746,25.835
68,4.878,112.713,39.758,153.231,-129.012,22.154
69,2.678,96.489,27.784,159.747,152.969,12.014
70,5.308,92.912,19.325,145.031,-153.435,24.029
71,2.487,166.484,115.976,198.005,119.604,11.064
72,6.552,135.319,61.450,191.420,130.556,29.722
73,9.038,139.900,38.271,181.688,-56.733,41.131
74,4.495,140.828,55.817,177.172,-90.000,20.418
75,3.587,120.549,22.992,183.587,-86.135,16.155
76,6.217,74.981,28.773,97.372,-40.263,28.207
77,0.526,101.921,74.640,140.551,-90.000,2.149
78,12.051,99.704,15.887,163.611,-66.801,54.889
79,7.078,108.477,36.913,174.612,129.455,32.059
80,9.995,74.000,24.987,133.331,-8.013,45.592
81,6.217,156.193,53.058,209.496,-46.565,28.125
82,3.061,151.083,126.276,170.595,135.000,13.678
83,3.826,116.817,37.579,157.159,180.000,17.194
84,3.491,188.036,140.044,219.645,106.164,15.647
85,7.891,154.513,63.348,199.295,138.453,35.786
86,18.459,93.443,42.768,189.883,11.048,84.300
87,18.746,112.366,62.525,187.243,54.768,85.571
88,9.612,130.524,20.775,178.570,-170.159,43.638
89,3.013,127.545,101.004,157.649,108.726,13.593
90,3.921,112.881,34.668,146.014,65.323,17.788
91,7.317,88.295,18.886,152.518,158.962,33.330
92,3.921,122.920,22.546,177.691,-37.439,17.625
93,3.539,116.079,39.925,151.868,118.673,15.866
94,10.234,112.516,14.511,189.464,130.221,46.507
95,6.169,113.640,26.737,162.001,147.665,28.022
96,2.869,152.193,111.307,183.831,175.156,12.940
97,5.547,83.901,18.613,179.496,170.455,25.087
98,5.213,101.021,51.232,164.081,180.000,23.641
99,1.530,134.829,50.757,183.447,161.565,6.796
100,1.530,129.609,54.383,196.367,-128.367,6.881
