 ,Area,Mean,Min,Max,Angle,Length
1,46.244,65.364,15.102,190.714,53.462,211.272
2,20.850,85.312,30.219,182.955,-64.554,95.174
3,21.759,92.676,42.455,175.310,31.310,99.336
4,22.859,88.398,31.521,164.097,-88.799,104.259
5,7.556,120.984,56.583,169.004,-51.170,34.404
6,6.073,72.934,20.679,102.084,141.483,27.523
7,10.043,80.385,13.973,144.048,-26.442,45.655
8,10.425,111.123,22.675,154.643,-56.898,47.393
9,10.234,52.858,20.913,133.217,75.379,46.656
10,11.860,83.635,31.177,135.811,58.758,53.998
11,8.751,44.914,13.016,102.614,18.933,39.760
12,2.391,90.872,16.686,192.076,45.000,10.638
13,3.634,102.404,32.324,135.563,147.995,16.403
14,8.082,135.376,71.274,184.860,96.491,36.789
15,21.520,125.123,55.395,193.927,-5.114,98.166
16,15.877,157.491,96.806,203.400,74.578,72.478
17,9.469,104.566,31.258,177.348,-71.107,43.159
18,16.881,130.279,37.566,212.178,30.128,77.043
19,6.886,133.790,47.278,177.791,22.620,31.330
20,7.508,114.482,41.650,176.939,114.111,34.152
21,6.886,125.487,13.955,161.271,-31.032,31.330
22,5.260,115.411,18.278,173.778,5.290,23.739
23,24.007,152.998,49.235,197.303,78.713,109.589
24,8.369,137.852,113.594,193.043,68.443,38.115
25,13.773,137.880,22.082,193.517,30.861,62.660
26,19.224,100.135,40.506,173.022,11.366,87.671
27,8.608,148.600,31.794,190.532,127.062,39.116
28,7.078,144.718,63.523,197.348,-76.626,32.059
29,3.108,129.072,93.256,182.327,94.467,14.011
30,6.169,148.636,133.168,168.765,122.574,28.022
31,2.056,119.882,55.968,142.151,68.962,9.181
32,6.265,94.062,22.399,118.968,-155.410,28.370
33,3.826,135.058,111.032,151.059,180.000,17.194
34,4.734,83.037,31.438,108.287,49.145,21.330
35,1.482,81.110,22.290,139.361,9.462,6.537
36,11.525,117.285,50.683,184.975,-74.514,52.403
37,20.372,129.233,24.013,183.523,52.941,92.846
38,20.994,115.841,42.316,191.390,28.788,95.713
39,14.490,95.192,40.045,154.017,42.997,66.147
40,9.851,115.177,83.652,156.313,-135.991,44.838
41,9.564,98.181,42.699,161.425,69.747,43.518
42,17.838,88.473,51.707,128.061,133.475,81.337
43,14.490,105.732,38.355,158.312,42.859,66.147
44,10.760,98.058,37.433,130.311,-160.916,48.939
45,11.573,89.769,29.520,165.355,86.438,52.754
46,9.230,103.434,45.664,169.219,175.510,42.034
47,1.722,142.166,41.255,199.112,-124.592,7.749
48,9.947,96.334,37.896,196.788,166.300,45.350
49,16.020,94.215,22.419,176.693,155.655,73.105
50,11.573,132.915,23.411,172.755,-88.811,52.667
51,11.382,54.731,20.211,116.179,123.824,51.860
52,5.834,121.279,36.661,159.736,21.105,26.541
53,3.252,133.542,32.744,175.844,162.387,14.616
54,8.512,83.579,52.175,134.426,93.234,38.746
55,29.124,64.941,14.278,153.005,75.987,132.922
56,6.026,85.434,52.253,149.089,25.542,27.397
57,3.826,97.410,47.984,132.971,60.524,17.328
58,3.682,91.932,20.277,149.591,-164.678,16.682
59,8.560,91.549,10.566,162.439,4.844,38.820
60,4.591,77.052,20.932,139.840,-34.354,20.865
61,4.926,88.145,17.750,154.943,-35.407,22.361
62,6.360,171.823,75.965,199.045,74.707,28.935
63,7.125,124.867,15.399,173.999,91.935,32.256
64,7.173,71.401,54.603,143.908,-172.252,32.524
65,8.369,140.178,39.034,201.146,-82.057,37.993
66,6.886,122.538,45.601,180.965,-174.369,31.330
67,4.974,126.592,13.881,189.889,0.000,22.567
68,4.830,126.538,22.418,190.239,20.422,21.759
69,6.982,147.460,33.956,190.120,125.446,31.605
70,10.473,138.903,30.274,198.571,165.645,47.696
71,13.295,107.451,55.411,129.075,-163.400,60.522
72,4.065,124.298,33.079,176.896,-96.870,18.394
73,4.256,100.759,27.309,154.692,26.274,19.223
74,1.243,141.771,72.676,161.289,101.310,5.479
75,6.982,140.192,56.594,197.302,151.673,31.733
76,6.647,87.298,39.058,175.068,83.752,30.261
77,8.847,126.691,24.593,191.898,-80.897,40.280
78,2.869,147.274,40.011,178.859,90.000,12.895
79,5.834,83.456,21.044,134.460,111.275,26.541
80,9.277,77.151,33.020,139.472,174.349,42.130
81,6.647,125.615,41.582,191.055,94.145,30.166
82,8.799,75.957,38.910,124.850,-172.488,40.122
83,10.569,96.790,56.976,138.529,-150.514,48.118
84,5.356,115.754,55.769,175.467,135.000,24.316
85,2.487,162.047,58.779,199.831,74.055,11.219
86,3.252,111.971,25.597,180.073,-143.471,14.616
87,4.065,101.898,22.202,160.536,180.000,18.268
88,4.304,134.250,88.098,193.090,93.252,19.373
89,10.664,97.925,61.728,192.457,154.936,48.560
90,2.487,129.353,25.892,154.013,162.979,11.219
91,3.587,77.338,37.283,137.331,172.304,16.262
92,7.030,104.419,23.207,166.356,101.543,31.824
93,16.977,124.865,45.730,179.910,117.216,77.379
94,5.452,131.326,27.486,166.008,180.000,24.716
95,4.878,134.133,17.191,184.655,-140.988,22.154
96,2.869,66.579,23.632,111.817,-155.158,12.985
97,2.343,128.594,61.809,150.691,114.444,10.584
98,6.026,85.320,31.925,141.832,-115.542,27.397
99,6.121,82.588,41.924,148.200,125.695,27.732
100,10.138,110.416,22.594,163.535,-118.025,46.146
