 ,Area,Mean,Min,Max,Angle,Length
1,9.216,118.422,53.192,212.647,-61.673,36.457
2,20.010,90.656,36.641,170.289,11.702,79.418
3,14.518,107.622,46.545,186.657,170.209,57.644
4,5.807,140.886,98.240,185.563,-12.804,22.765
5,13.319,76.341,39.223,201.828,-169.330,52.785
6,13.003,109.593,38.659,222.497,132.049,51.573
7,18.747,76.601,35.387,159.719,4.844,74.332
8,19.505,111.828,44.033,210.661,-26.648,77.298
9,27.205,117.530,54.689,186.964,13.843,108.096
10,8.774,129.921,50.231,217.481,177.910,34.591
11,10.352,113.864,53.105,207.390,-154.855,40.872
12,16.222,82.246,41.432,149.048,1.119,64.211
13,8.269,66.496,32.202,134.246,155.410,32.594
14,11.867,148.679,78.410,192.614,180.000,46.915
15,20.893,98.968,41.890,194.991,-14.584,82.948
16,4.229,45.396,22.542,83.152,26.952,16.564
17,12.877,111.808,41.024,188.460,-6.809,50.993
18,4.040,165.463,84.073,228.059,135.000,15.714
19,8.016,156.051,34.577,202.014,-13.266,31.741
20,15.212,135.298,26.519,208.357,135.845,60.243
21,4.671,158.045,64.629,198.984,27.979,18.229
22,7.953,149.493,37.661,200.451,-168.871,31.476
23,7.196,144.367,34.768,200.736,180.000,28.396
24,7.196,156.868,21.651,207.169,90.000,28.396
25,5.933,137.593,52.004,205.192,-2.463,23.490
26,9.089,73.181,35.683,160.687,180.000,35.803
27,18.747,108.502,30.832,201.402,-21.441,74.281
28,13.571,102.975,30.380,180.416,9.111,53.786
29,17.232,164.347,67.653,217.698,173.660,68.306
30,10.857,157.140,34.452,217.182,18.435,42.945
31,24.807,150.585,27.877,204.927,167.772,98.559
32,11.046,126.167,53.576,179.947,158.443,43.789
33,7.575,139.457,67.377,191.143,-172.755,29.861
34,17.169,140.433,42.276,212.936,137.840,68.183
35,9.216,184.532,63.027,218.157,61.484,36.457
36,10.983,100.633,51.190,182.010,173.696,43.492
37,11.867,134.506,64.148,218.657,178.775,46.931
38,4.482,92.274,38.715,147.727,-167.560,17.677
39,2.272,73.837,39.143,129.517,171.634,8.730
40,1.894,122.690,35.568,197.319,-122.005,7.199
41,3.409,186.179,105.059,216.923,157.797,13.297
42,6.060,140.642,60.310,194.733,167.989,23.971
43,6.312,118.189,57.597,170.983,-174.174,24.815
44,3.345,164.008,72.367,215.929,-138.094,13.124
45,2.525,90.437,43.386,172.464,-90.000,9.877
46,13.066,120.806,20.040,227.065,33.304,51.706
47,21.524,102.833,50.761,195.417,-169.318,85.473
48,20.136,146.632,69.441,210.922,172.048,79.791
49,18.305,152.636,75.148,221.876,-170.245,72.663
50,7.511,114.452,40.885,175.277,-85.156,29.733
51,11.109,52.922,26.470,127.934,168.498,44.067
52,8.521,151.990,49.875,199.737,171.870,33.698
53,6.249,71.929,33.238,140.877,138.759,24.506
54,12.814,121.579,32.617,183.425,1.418,50.633
55,13.824,67.845,39.204,95.047,-165.710,54.797
56,6.502,124.908,69.298,197.047,144.917,25.690
57,9.658,142.419,53.316,204.680,178.128,38.292
58,15.402,68.132,13.296,158.808,172.904,60.947
59,6.880,125.228,24.775,188.501,133.493,27.077
60,5.492,126.352,44.563,205.138,65.833,21.561
61,4.040,101.197,34.945,160.094,135.000,15.714
62,4.671,148.436,33.175,224.811,42.221,18.354
63,2.525,84.488,43.691,140.734,180.000,9.877
64,17.485,133.335,25.840,227.447,128.530,69.412
65,6.312,98.460,20.270,126.772,117.084,24.846
66,8.521,184.231,143.948,215.089,156.297,33.720
67,12.624,63.719,45.069,167.129,8.702,49.936
68,7.827,103.144,22.743,196.803,-177.672,30.890
69,4.419,174.700,140.954,214.207,172.569,17.460
70,10.604,102.005,55.186,189.122,166.464,41.922
71,2.904,146.571,49.068,206.167,77.196,11.382
72,7.133,134.122,69.314,177.531,-157.068,28.207
73,5.113,136.654,72.371,189.775,169.114,20.098
74,1.452,196.636,90.626,228.017,152.241,5.521
75,6.312,156.385,76.572,200.627,153.435,24.846
76,2.651,196.780,83.964,228.960,104.381,10.181
77,7.764,163.647,38.785,224.586,166.192,30.542
78,5.618,107.258,58.750,154.733,152.850,22.085
79,5.050,154.432,112.680,195.988,176.379,19.792
80,11.614,168.261,41.641,212.756,173.729,45.946
81,11.993,160.992,37.852,219.980,-170.838,47.496
82,8.585,139.608,46.790,204.325,-71.030,33.968
83,8.080,143.192,68.746,189.946,144.673,31.861
84,1.957,59.545,29.979,127.271,170.218,7.510
85,5.870,137.740,96.348,219.427,-25.168,23.196
86,6.249,107.726,70.096,143.469,180.000,24.692
87,6.438,75.316,23.154,109.554,50.988,25.452
88,3.914,137.701,23.284,210.397,-14.265,15.271
89,5.933,70.393,26.098,115.341,-176.955,23.490
90,9.847,129.330,43.405,196.018,-168.835,38.983
91,11.236,74.692,16.029,181.809,176.766,44.514
92,9.721,167.734,56.829,194.308,-74.876,38.332
93,9.405,110.308,68.221,163.605,91.948,37.058
94,6.375,125.183,45.215,194.763,168.465,25.181
95,9.468,106.449,45.978,193.063,133.643,37.549
96,7.890,152.331,38.599,201.363,-33.818,31.160
97,6.565,97.765,46.112,167.484,106.858,25.779
98,9.658,119.244,20.792,173.687,178.128,38.292
99,13.445,80.603,17.794,144.179,175.953,53.217
100,2.335,121.693,56.082,164.265,163.610,8.988
101,4.482,136.367,36.887,204.022,167.735,17.677
