 ,Area,Mean,Min,Max,Angle,Length
1,26.069,112.926,42.778,203.241,12.619,103.499
2,14.707,108.985,29.108,199.871,10.437,58.246
3,19.252,150.066,32.191,214.798,9.090,76.331
4,20.010,100.062,34.724,181.471,-14.300,79.338
5,14.076,68.314,33.829,152.306,1.548,55.796
6,15.654,55.411,14.240,107.301,18.435,61.970
7,2.840,81.928,32.512,143.537,164.055,10.974
8,18.053,136.329,42.254,202.039,14.621,71.663
9,22.661,158.351,45.194,225.611,166.430,89.942
10,12.056,176.667,53.000,243.781,-145.305,47.669
11,16.790,153.611,42.907,226.598,147.031,66.481
12,9.405,180.758,19.602,221.989,153.435,37.078
13,14.076,178.656,78.775,234.991,176.906,55.857
14,10.163,126.243,54.667,178.697,12.995,40.224
15,23.418,135.550,32.000,217.476,163.034,92.986
16,15.086,140.784,66.178,208.191,135.000,59.692
17,7.701,165.614,49.541,228.811,174.289,30.299
18,6.628,182.816,90.572,203.776,10.008,26.022
19,5.428,162.428,37.837,230.013,171.870,21.318
20,5.492,145.046,49.464,185.697,167.905,21.583
21,6.565,102.943,43.424,161.221,110.556,25.759
22,9.405,112.788,56.333,154.143,63.435,37.078
23,11.804,172.975,59.333,223.333,0.000,46.731
24,11.109,162.574,58.667,208.594,164.055,43.897
25,9.784,165.795,51.871,191.663,-76.504,38.756
26,3.661,133.173,53.358,170.030,161.565,14.301
27,3.345,131.129,47.481,176.167,-125.538,12.967
28,2.714,135.060,77.952,161.333,171.870,10.659
29,3.093,88.983,37.771,174.333,150.255,12.153
30,9.910,111.807,13.000,189.333,0.000,39.193
31,5.113,167.552,97.853,211.244,167.005,20.112
32,17.422,58.006,14.942,132.689,-159.590,69.162
33,14.834,88.940,52.632,139.846,-178.531,58.809
34,11.677,84.927,32.594,186.224,-11.310,46.119
35,17.800,102.630,40.052,189.772,-16.113,70.609
36,14.834,74.616,13.667,200.055,157.380,58.790
37,19.757,56.704,10.897,165.102,-15.642,78.271
38,7.322,91.249,37.594,160.439,173.991,28.800
39,2.714,37.984,24.333,50.000,180.000,10.552
40,2.714,107.430,56.667,171.095,-171.870,10.659
41,9.153,111.309,22.667,179.000,177.614,36.210
42,10.289,144.826,61.000,200.000,180.000,40.701
43,12.246,148.480,42.535,196.565,-7.125,48.613
44,4.987,134.207,27.667,204.000,180.000,19.597
45,7.259,105.084,44.000,177.000,180.000,28.641
46,2.714,68.713,19.333,137.000,180.000,10.552
47,20.136,136.492,15.667,229.957,132.709,80.008
48,11.867,112.428,41.856,211.883,129.806,47.094
49,13.003,114.277,55.233,198.115,173.290,51.606
50,8.711,89.680,56.225,153.103,156.801,34.441
51,3.850,51.503,28.667,122.667,180.000,15.074
52,4.734,90.455,25.333,177.536,165.964,18.646
53,5.050,73.356,26.227,198.415,-8.746,19.827
54,1.767,193.530,183.148,204.457,-26.565,6.741
55,3.093,129.133,47.792,190.667,172.875,12.153
56,4.292,144.525,97.600,189.540,169.695,16.854
57,5.933,93.488,28.366,145.455,165.069,23.402
58,9.531,155.009,25.733,213.704,-113.499,37.806
59,11.425,88.916,29.200,148.244,3.814,45.324
60,5.239,162.860,131.677,192.333,162.897,20.503
61,14.770,142.231,57.667,213.757,162.031,58.635
62,9.216,142.588,53.000,188.527,155.556,36.429
63,12.814,180.049,53.000,228.404,-157.249,50.673
64,11.930,133.759,71.667,187.543,170.838,47.335
65,14.581,61.573,19.829,157.539,160.145,57.698
66,6.186,130.578,39.144,203.336,29.745,24.307
67,9.910,95.953,32.333,195.000,0.000,39.193
68,2.714,130.473,87.667,186.333,180.000,10.552
69,11.551,141.647,42.629,218.716,172.405,45.623
70,7.259,115.817,28.667,199.912,-176.987,28.681
71,6.123,142.239,60.667,207.312,-3.576,24.166
72,22.345,81.346,16.333,167.387,17.819,88.670
73,13.382,82.341,22.491,166.333,-175.101,52.954
74,19.757,98.590,35.181,202.984,164.358,78.271
75,12.561,148.120,35.202,202.364,178.264,49.768
76,14.139,73.412,45.964,103.487,14.036,55.938
77,10.668,124.804,58.238,184.548,4.086,42.316
78,11.993,139.719,49.000,194.000,169.046,47.598
79,3.850,111.708,24.267,176.333,174.289,15.150
80,3.787,100.290,22.030,188.516,-23.962,14.847
81,4.671,71.337,29.915,127.896,170.538,18.339
82,3.472,93.242,32.667,158.667,180.000,13.567
83,2.335,58.784,21.333,98.000,180.000,9.045
84,4.229,161.171,55.000,205.970,174.806,16.650
85,9.153,99.542,64.222,164.778,-4.764,36.304
86,14.076,144.678,35.486,236.495,1.548,55.796
87,6.123,58.693,25.000,125.167,176.424,24.166
88,8.774,147.631,40.333,227.000,180.000,34.671
89,9.405,117.540,35.726,186.216,148.241,37.231
90,7.701,143.287,53.000,192.166,-159.775,30.523
91,15.212,119.706,42.400,203.883,177.138,60.373
92,8.395,157.140,41.000,212.175,155.772,33.061
93,6.502,91.325,37.196,174.257,-61.928,25.626
94,16.538,108.550,50.768,161.667,170.754,65.673
95,20.262,138.583,16.672,224.109,-173.541,80.405
96,10.857,90.121,40.047,152.634,-161.565,42.902
97,12.561,151.197,34.939,215.121,-1.736,49.768
98,9.910,106.348,19.667,174.000,180.000,39.193
99,3.661,144.782,87.548,186.544,-32.005,14.221
100,3.472,103.277,77.111,132.000,173.660,13.650
101,3.345,126.004,45.000,193.460,144.462,12.967
102,20.641,54.527,25.121,172.066,-12.758,81.917
