 ,Area,Mean,Min,Max,Angle,Length
1,19.505,152.493,39.094,221.488,8.209,77.347
2,18.368,111.821,39.833,186.432,-24.003,72.956
3,16.222,86.121,31.199,125.739,180.000,64.199
4,3.156,120.188,79.583,165.554,5.826,12.408
5,10.668,85.347,31.571,204.818,164.476,42.230
6,8.458,153.016,29.555,199.682,-6.483,33.539
7,15.970,70.154,35.720,135.991,16.852,63.266
8,12.056,106.855,31.931,222.380,143.372,47.656
9,8.269,128.283,51.675,179.369,24.590,32.594
10,17.295,107.836,53.062,184.181,-23.364,68.573
11,15.591,144.482,49.458,231.371,153.956,61.841
12,19.378,104.985,34.351,195.087,-175.501,76.793
13,17.485,101.425,35.294,183.875,38.401,69.412
14,11.046,91.052,27.113,187.033,-80.106,43.841
15,7.133,128.624,28.214,196.947,-52.214,28.153
16,27.773,110.768,30.223,196.004,15.622,110.232
17,15.465,149.948,65.606,211.546,164.827,61.395
18,7.070,155.036,62.679,184.141,166.967,27.854
19,10.226,81.086,19.688,146.192,121.209,40.441
20,8.900,60.724,28.485,111.087,39.174,35.094
21,12.751,139.168,48.319,213.902,21.590,50.437
22,24.491,147.562,14.138,239.310,152.773,97.181
23,11.046,108.371,44.442,195.004,-111.557,43.789
24,11.741,165.895,59.271,207.708,169.114,46.490
25,10.857,128.583,29.285,221.817,129.289,42.999
26,8.963,126.675,42.237,179.605,155.253,35.353
27,9.658,140.160,49.562,171.092,0.000,38.272
28,6.375,110.041,22.430,179.855,159.918,24.999
29,10.983,120.589,47.318,200.406,6.304,43.492
30,5.744,155.590,123.437,179.434,22.036,22.698
31,3.787,86.878,39.768,177.992,175.156,14.866
32,3.535,119.255,56.947,210.609,79.509,13.803
33,8.963,152.399,36.913,210.364,12.352,35.353
34,6.880,159.106,30.444,201.567,0.000,27.161
35,12.940,141.617,61.586,215.068,19.767,51.158
36,13.887,117.118,59.418,203.529,170.796,55.005
37,15.212,140.875,61.973,209.279,135.845,60.243
38,3.156,145.041,53.535,197.285,180.000,12.346
39,1.641,181.917,57.855,200.649,180.000,6.173
40,3.661,122.252,31.919,194.783,120.964,14.398
41,5.744,134.575,69.139,189.773,44.549,22.698
42,9.342,156.377,80.295,183.848,0.000,37.038
43,12.119,107.537,37.811,215.333,-46.057,48.022
44,13.003,169.930,69.657,229.602,78.799,51.573
45,18.936,127.780,24.117,211.294,136.351,75.097
46,19.694,149.504,16.805,219.557,-173.558,78.258
47,11.362,110.112,84.325,146.090,171.961,44.872
48,17.990,150.392,41.436,217.098,170.108,71.447
49,17.295,104.161,50.134,152.213,166.472,68.573
50,11.867,158.145,45.591,208.410,178.468,46.931
51,10.099,133.281,21.848,197.398,-8.691,39.986
52,18.179,75.772,41.810,175.642,167.125,72.179
53,9.784,113.514,21.631,177.839,-17.021,38.669
54,2.904,72.831,16.764,131.996,130.462,11.382
55,1.326,83.660,47.223,110.420,180.000,4.938
56,1.641,89.892,28.118,145.546,168.690,6.295
57,4.103,48.246,27.053,82.209,157.036,16.050
58,11.867,96.781,27.939,164.919,-166.409,47.012
59,7.196,93.421,57.612,134.647,180.000,28.396
60,6.249,110.178,41.992,161.604,-162.681,24.599
61,14.202,72.631,25.708,156.365,-25.992,56.320
62,5.176,142.429,45.411,202.917,-76.477,20.361
63,6.060,105.350,21.009,175.517,152.354,23.748
64,10.857,157.414,51.602,215.640,168.163,42.857
65,10.541,74.086,18.586,184.998,123.977,41.776
66,10.289,110.696,25.987,200.033,-13.950,40.723
67,4.860,132.711,42.004,185.511,165.600,19.166
68,10.920,152.814,94.417,214.219,180.000,43.211
69,10.668,85.378,66.084,208.669,-121.787,42.139
70,6.691,100.804,41.561,164.873,-169.011,26.393
71,7.133,125.738,68.107,188.937,28.856,28.180
72,4.040,163.517,64.248,213.309,45.644,15.714
73,2.840,137.422,33.221,184.415,180.000,11.111
74,3.598,119.119,46.005,192.569,135.000,13.968
75,1.326,116.945,45.775,169.108,90.000,4.938
76,3.535,137.237,62.639,202.858,152.969,13.803
77,7.511,144.657,23.034,193.397,180.000,29.630
78,8.206,136.920,93.333,188.599,171.119,32.477
79,7.196,156.929,44.339,205.708,180.000,28.396
80,4.355,128.846,42.872,186.106,-60.046,17.152
81,7.511,165.322,50.582,209.416,180.000,29.630
82,7.322,136.550,24.683,212.133,136.757,28.822
83,13.634,134.981,40.892,203.744,-10.472,53.998
84,5.492,141.435,44.229,197.533,31.079,21.597
85,11.488,104.558,55.435,158.458,32.811,45.546
86,10.794,93.500,33.202,154.176,112.178,42.643
87,10.731,93.377,33.646,146.736,60.716,42.571
88,16.285,73.216,25.283,186.259,156.422,64.684
89,8.143,155.349,22.925,192.376,164.548,32.052
90,11.046,101.147,23.135,222.492,106.668,43.754
91,14.076,152.228,57.173,221.767,155.279,55.789
92,10.920,122.957,44.655,197.034,166.855,43.123
93,10.604,42.888,11.997,91.833,-3.427,42.049
94,16.853,86.914,28.570,168.188,-164.084,66.817
95,7.638,81.893,42.357,191.322,124.875,30.140
96,4.103,164.714,88.131,208.554,112.964,16.050
97,13.382,159.286,71.791,188.800,180.000,53.088
98,4.103,137.169,46.843,181.718,-157.036,16.050
99,11.551,167.327,53.460,207.603,175.288,45.830
100,5.681,107.497,33.091,165.343,146.129,22.257
101,10.415,119.504,47.488,179.745,129.043,41.262
