 ,Area,Mean,Min,Max,Angle,Length
1,11.238,84.789,15.608,190.015,-8.409,51.064
2,19.511,62.257,32.828,116.390,172.368,88.907
3,17.790,123.586,50.442,196.479,14.562,81.060
4,9.469,161.033,41.701,192.681,-102.907,43.011
5,11.382,84.500,14.099,157.520,41.573,51.760
6,6.504,124.043,69.626,164.246,32.863,29.508
7,8.034,102.389,48.845,181.213,-86.915,36.600
8,7.460,138.067,22.492,188.009,71.681,33.982
9,4.161,79.035,13.080,144.665,65.833,18.767
10,21.807,120.296,39.392,193.300,-6.938,99.568
11,1.769,41.198,16.473,76.952,164.055,7.823
12,4.208,103.692,13.718,145.014,38.047,19.133
13,6.265,66.458,16.365,142.228,52.512,28.370
14,9.277,51.364,18.091,113.946,19.473,42.143
15,8.704,112.740,46.419,174.048,135.000,39.513
16,10.234,64.404,13.637,123.211,-6.459,46.519
17,9.230,66.325,35.365,107.365,94.170,42.034
18,13.821,96.148,35.044,173.924,25.318,62.972
19,27.354,58.700,14.405,135.757,79.103,124.766
20,8.273,122.273,25.256,202.016,76.855,37.534
21,5.930,109.240,55.901,153.449,118.648,26.930
22,14.681,82.125,48.121,150.398,60.255,66.911
23,5.643,134.298,16.629,169.274,-67.834,25.543
24,5.643,129.301,57.048,166.879,122.735,25.633
25,1.722,110.134,90.345,137.353,171.634,7.599
26,4.161,118.992,79.263,191.386,148.696,18.798
27,2.487,106.499,38.221,169.188,-61.390,11.064
28,3.634,135.947,20.772,189.725,-11.611,16.438
29,6.743,118.153,54.611,181.575,-71.694,30.584
30,2.439,125.638,25.892,170.413,168.465,10.959
31,17.216,132.198,48.957,188.854,103.378,78.454
32,18.172,121.922,43.111,185.151,56.100,82.856
33,9.708,127.290,23.785,178.984,-175.732,44.177
34,4.352,118.872,14.901,163.907,99.673,19.610
35,11.908,120.200,14.186,164.262,103.756,54.212
36,15.638,131.954,24.713,179.368,-118.849,71.184
37,12.769,110.729,61.252,141.398,19.524,58.118
38,8.751,107.568,30.133,150.785,128.758,39.775
39,6.647,90.427,8.443,160.798,180.000,30.089
40,2.056,132.812,54.852,170.775,-126.327,9.244
41,3.778,120.000,25.611,189.304,145.491,16.991
42,1.243,138.751,72.389,202.682,90.000,5.373
43,6.982,111.233,41.568,161.078,23.923,31.751
44,2.822,114.127,64.413,151.634,110.323,12.578
45,1.722,139.577,106.859,165.742,124.592,7.749
46,5.739,97.124,22.417,132.589,-155.596,25.969
47,2.295,135.215,34.146,157.987,107.650,10.195
48,1.913,76.749,41.650,108.530,0.000,8.597
49,12.482,124.230,18.634,170.564,-91.097,56.964
50,11.764,52.155,15.355,116.826,122.525,53.655
51,8.704,90.534,38.504,154.949,47.237,39.542
52,5.117,95.001,55.036,162.240,76.357,23.198
53,5.547,86.091,49.233,134.866,130.061,25.179
54,3.682,143.223,108.215,167.581,135.000,16.717
55,4.830,129.916,23.765,196.943,168.465,21.918
56,10.377,125.795,27.048,186.640,90.000,47.283
57,13.199,101.565,24.037,158.366,-178.958,60.188
58,6.408,113.656,26.450,170.445,180.000,29.014
59,2.869,103.145,26.797,175.131,-155.158,12.985
60,4.400,104.130,47.152,178.191,-130.533,19.815
61,4.591,134.568,60.172,169.991,68.532,20.754
62,1.722,133.717,115.943,171.213,81.634,7.599
63,5.930,77.681,37.005,105.381,113.443,26.951
64,5.213,87.489,30.084,132.342,-120.141,23.592
65,4.734,130.770,72.676,193.394,90.000,21.492
66,8.991,127.654,11.089,192.582,149.876,40.920
67,9.564,90.594,31.754,143.810,-15.709,43.545
68,12.147,59.839,19.583,170.591,65.969,55.319
69,13.916,123.464,48.996,163.901,-10.729,63.438
70,7.556,129.713,51.127,158.503,180.000,34.387
71,4.830,123.216,54.749,185.997,20.082,21.759
72,5.021,120.072,19.991,178.440,109.134,22.771
73,9.182,123.073,78.323,171.684,-102.074,41.730
74,6.169,101.408,56.106,154.299,87.763,27.960
75,5.404,146.017,27.069,189.946,-164.476,24.505
76,2.487,142.368,23.173,200.547,150.396,11.064
77,3.682,87.217,58.833,150.444,135.000,16.717
78,5.547,109.822,17.012,180.103,169.963,25.087
79,3.061,62.908,32.220,128.301,38.517,13.762
80,3.539,131.116,90.133,165.427,137.779,15.975
81,1.913,127.431,18.721,156.854,90.000,8.597
82,0.765,95.671,56.188,141.222,90.000,3.224
83,0.765,117.908,30.755,162.861,180.000,3.224
84,1.913,86.574,21.205,117.450,180.000,8.597
85,4.974,102.512,23.635,160.914,180.000,22.567
86,7.030,96.617,19.186,159.310,147.288,31.896
87,6.839,142.321,20.760,170.935,34.028,30.996
88,2.726,99.666,17.740,159.283,45.000,12.158
89,6.456,81.469,10.007,151.266,35.838,29.232
90,3.587,151.999,47.491,182.774,180.000,16.119
91,8.991,122.491,74.443,188.562,85.414,40.962
92,12.769,132.180,16.172,192.432,38.895,58.069
93,7.604,90.188,33.974,146.351,-95.458,34.538
94,3.013,144.615,26.080,182.797,119.055,13.465
95,4.495,139.457,64.200,178.922,108.628,20.389
96,4.208,127.283,63.472,188.171,141.953,19.133
97,4.304,99.471,67.159,138.963,-176.785,19.373
98,4.734,90.733,24.266,130.721,17.700,21.411
99,18.029,116.146,27.954,191.224,156.161,82.269
100,1.530,127.589,44.713,188.054,-128.660,6.881
