 ,Area,Mean,Min,Max,Angle,Length
1,24.908,118.893,20.531,201.948,81.573,110.543
2,24.958,87.815,14.593,179.106,87.905,110.774
3,10.429,157.113,27.000,193.880,74.745,46.177
4,18.529,106.035,27.259,180.883,14.265,82.184
5,8.910,153.328,64.333,195.459,-15.945,39.313
6,6.278,140.705,90.547,170.067,46.975,27.700
7,1.671,71.193,40.458,122.557,-111.801,7.270
8,29.869,58.976,24.570,156.238,67.874,132.616
9,30.021,62.572,18.878,145.432,-100.513,133.186
10,11.492,140.637,74.964,176.480,61.390,50.746
11,4.202,126.772,64.345,192.604,107.103,18.362
12,2.784,170.139,30.000,205.000,90.000,12.150
13,8.859,154.210,41.667,195.591,116.565,39.243
14,6.986,144.377,28.285,208.816,118.811,30.814
15,24.654,149.458,44.748,192.182,77.164,109.383
16,9.821,116.369,42.269,158.067,82.875,43.536
17,5.366,134.489,14.338,191.928,-13.241,23.577
18,4.101,104.816,31.370,181.068,167.005,18.011
19,6.126,139.262,40.667,186.000,0.000,27.000
20,6.784,164.065,90.390,207.157,125.838,29.975
21,15.289,133.581,24.229,188.178,42.580,67.837
22,20.301,119.218,73.064,183.667,25.796,89.965
23,16.504,144.002,36.397,197.351,-154.855,73.075
24,5.619,123.711,36.860,171.722,-157.620,24.819
25,5.923,98.445,15.089,143.667,-34.509,26.212
26,3.696,128.050,24.000,186.000,180.000,16.200
27,6.024,93.729,42.869,135.667,149.534,26.626
28,13.112,131.224,87.939,168.775,-107.592,58.066
29,3.392,115.262,59.000,165.303,-174.806,14.911
30,4.455,116.814,18.267,167.490,-164.055,19.656
31,1.316,112.905,61.333,166.260,135.000,5.728
32,10.783,117.324,91.487,165.078,115.115,47.711
33,22.832,101.795,15.178,182.427,1.528,101.286
34,2.633,148.001,35.905,179.879,45.000,11.455
35,7.543,144.435,21.258,186.136,111.371,33.343
36,5.771,86.253,20.711,138.105,-25.201,25.364
37,11.644,107.803,14.333,159.596,47.121,51.583
38,10.226,89.818,47.268,158.713,141.072,45.119
39,14.175,123.413,62.333,182.768,-75.069,62.873
40,4.961,81.695,43.050,123.671,119.745,21.768
41,8.809,86.059,24.931,174.044,-69.677,38.870
42,3.999,143.918,32.822,192.623,22.620,17.550
43,6.733,129.848,23.733,165.333,-50.528,29.731
44,7.037,105.550,60.768,131.043,-92.490,31.079
45,8.100,65.779,14.081,100.595,60.524,35.667
46,11.289,87.410,28.667,140.667,0.000,49.950
47,8.556,96.359,17.238,155.262,92.045,37.824
48,13.568,83.470,44.000,148.989,135.909,60.147
49,2.177,141.271,73.667,192.667,180.000,9.450
50,6.176,110.020,15.838,189.187,-5.711,27.135
51,9.011,125.209,43.798,153.469,-113.962,39.888
52,8.100,127.606,13.614,173.587,-160.201,35.870
53,9.315,64.032,29.667,122.726,131.009,41.147
54,7.644,103.842,15.639,158.560,61.390,33.831
55,14.023,111.216,68.613,167.909,45.881,62.056
56,10.986,99.330,65.000,154.667,90.000,48.600
57,2.379,123.379,50.000,179.621,156.801,10.281
58,14.074,132.044,37.670,171.896,93.731,62.232
59,1.569,101.968,28.000,183.000,180.000,6.750
60,2.784,75.176,22.667,157.000,180.000,12.150
61,7.948,94.214,37.487,149.667,-4.399,35.204
62,7.594,118.082,19.210,183.697,46.637,33.424
63,9.416,68.778,12.000,169.667,155.095,41.675
64,5.113,118.734,22.245,187.127,122.735,22.468
65,7.341,74.660,25.000,155.750,48.366,32.512
66,2.936,118.024,20.742,166.616,108.435,12.807
67,6.581,83.954,43.667,143.512,158.199,29.080
68,10.226,108.704,24.618,166.053,-116.565,45.280
69,9.366,100.243,35.581,186.689,-19.026,41.412
70,11.087,97.621,29.667,157.667,-7.907,49.067
71,13.821,137.684,30.490,209.941,157.964,61.169
72,3.594,87.994,15.961,163.667,149.036,15.744
73,3.189,84.408,26.674,116.890,119.055,13.899
74,11.492,40.117,12.983,134.602,163.009,50.818
75,6.885,64.765,11.179,130.858,20.854,30.337
76,1.873,112.712,13.000,191.000,180.000,8.100
77,10.378,74.811,30.333,132.667,90.000,45.900
78,10.277,63.001,27.000,128.368,-168.024,45.541
79,10.581,117.679,25.573,191.188,-146.768,46.804
80,21.516,114.299,36.165,181.665,-151.260,95.459
81,4.911,91.386,18.917,163.875,176.424,21.642
82,2.177,61.558,12.667,115.810,45.000,9.546
83,2.481,128.803,17.000,205.000,180.000,10.800
84,0.658,111.641,47.333,162.667,180.000,2.700
85,7.847,75.890,18.310,144.484,-166.504,34.708
86,16.605,153.397,108.667,198.005,76.218,73.671
87,6.581,153.289,75.944,212.251,-27.759,28.986
88,11.492,97.874,12.136,208.489,-68.199,50.890
89,10.226,84.763,26.538,160.883,79.695,45.280
90,6.126,162.959,42.667,208.000,180.000,27.000
91,13.871,108.379,54.667,133.059,19.231,61.481
92,4.354,126.735,30.077,193.055,-140.711,19.187
93,3.594,133.924,30.052,181.260,149.036,15.744
94,2.177,107.186,48.000,157.000,180.000,9.450
95,0.962,142.561,129.333,153.000,0.000,4.050
96,9.062,80.900,18.940,148.667,-147.381,40.070
97,9.720,132.150,15.890,199.597,151.821,42.882
98,7.088,106.639,24.890,149.823,-82.569,31.313
99,5.518,120.596,14.667,200.333,180.000,24.300
100,9.720,122.201,16.871,214.391,-32.196,43.073
