 ,Area,Mean,Min,Max,Angle,Length
1,12.164,134.933,72.000,172.799,0.690,77.759
2,4.949,117.790,80.391,189.808,126.529,31.477
3,14.163,133.050,40.372,187.467,-24.444,90.554
4,2.072,121.503,49.469,151.667,68.962,13.048
5,12.067,109.032,30.000,179.984,24.386,77.142
6,5.924,112.372,84.009,153.801,-165.619,37.717
7,2.023,169.678,30.342,195.618,107.103,12.742
8,11.238,135.981,48.977,177.781,97.496,71.810
9,4.144,123.160,90.328,148.667,-62.526,26.397
10,4.510,88.288,61.409,116.729,128.367,28.676
11,5.460,159.302,49.699,190.916,6.170,34.863
12,10.068,90.442,38.333,177.597,-68.663,64.367
13,19.331,72.805,17.386,134.727,-0.434,123.660
14,1.877,117.278,101.333,130.456,135.000,11.923
15,2.852,83.798,22.333,121.491,101.889,18.189
16,9.385,112.858,15.104,154.833,-179.105,59.962
17,2.316,125.099,57.000,174.950,116.565,14.663
18,1.365,155.295,48.294,179.107,102.529,8.637
19,0.756,63.828,30.667,105.333,-90.000,4.684
20,1.926,150.759,29.667,201.103,94.399,12.214
21,3.193,145.604,59.588,189.824,33.690,20.266
22,1.487,131.546,84.333,175.667,180.000,9.368
23,1.341,97.910,34.333,159.778,63.435,8.379
24,2.998,112.208,43.944,151.559,-11.310,19.107
25,5.241,131.009,22.667,175.307,-38.157,33.358
26,3.413,158.992,94.000,195.726,82.569,21.729
27,4.339,156.414,31.746,200.269,23.962,27.679
28,3.852,146.634,84.000,186.227,-46.548,24.518
29,3.072,124.167,29.056,208.912,-16.699,19.561
30,2.291,131.203,62.707,151.213,14.931,14.543
31,2.901,140.975,85.333,160.607,-75.256,18.405
32,1.585,135.533,85.333,157.036,138.814,9.958
33,3.145,120.460,37.042,152.979,48.814,19.916
34,0.756,165.344,116.333,187.667,90.000,4.684
35,12.457,140.100,0.000,167.209,-17.796,79.693
36,7.094,141.068,27.000,174.327,76.827,45.219
37,12.944,83.043,18.694,137.067,-74.233,82.741
38,5.144,114.886,48.000,146.733,3.270,32.841
39,7.362,116.407,36.000,182.239,63.947,46.924
40,6.533,141.221,15.657,204.292,-134.091,41.737
41,3.827,137.586,25.667,161.769,-87.797,24.375
42,5.704,122.853,56.000,145.715,11.889,36.378
43,3.827,130.824,102.627,162.844,32.471,24.429
44,5.119,107.603,55.667,145.665,27.300,32.680
45,8.093,112.554,65.847,161.003,45.000,51.668
46,3.437,117.666,50.667,138.933,43.264,21.870
47,3.803,119.314,41.333,143.799,144.462,24.176
48,1.219,150.031,122.912,191.075,165.964,7.725
49,8.727,81.018,21.812,159.930,-29.148,55.777
50,6.484,101.494,34.527,160.714,-5.194,41.389
51,4.315,151.396,57.959,190.573,35.311,27.552
52,2.389,113.111,15.000,159.476,111.801,15.134
53,4.680,77.300,51.468,115.548,28.179,29.757
54,2.657,103.820,54.667,136.667,0.000,16.862
55,1.853,93.205,30.283,117.672,61.390,11.738
56,7.971,112.273,56.109,134.857,-83.660,50.898
57,2.633,123.067,97.485,151.978,51.843,16.679
58,0.609,129.080,89.333,146.667,180.000,3.747
59,4.339,143.196,63.866,180.728,151.699,27.663
60,5.144,133.078,57.002,159.667,23.629,32.721
61,6.874,132.510,20.818,168.847,33.690,43.909
62,5.144,127.901,48.467,173.333,143.130,32.788
63,4.827,92.967,16.667,121.630,77.661,30.686
64,5.534,99.411,17.667,135.648,21.801,35.313
65,2.413,109.198,70.370,163.332,132.510,15.250
66,3.973,84.522,48.704,118.682,158.199,25.224
67,1.633,115.512,31.667,159.333,0.000,10.305
68,1.828,120.092,51.200,154.086,165.964,11.587
69,1.146,108.731,72.000,124.059,113.199,7.134
70,3.047,149.680,141.337,163.813,112.834,19.312
71,5.290,144.253,77.667,179.630,-70.560,33.777
72,5.436,114.217,49.946,155.667,-1.548,34.674
73,11.774,85.583,43.975,135.523,106.631,75.282
74,8.971,93.789,37.185,175.908,-68.895,57.236
75,1.487,130.817,69.667,173.500,174.289,9.415
76,0.463,95.807,66.000,144.667,180.000,2.810
77,1.999,127.034,95.000,155.346,41.987,12.603
78,4.705,126.520,33.667,170.875,-1.790,29.992
79,3.535,133.382,91.773,158.000,-16.928,22.522
80,3.242,135.729,69.529,173.813,-39.472,20.631
81,5.729,107.919,72.128,139.319,138.122,36.487
82,2.194,97.818,54.000,107.449,28.301,13.832
83,2.974,128.130,40.429,154.865,69.775,18.969
84,1.877,100.316,34.435,152.041,-135.000,11.923
85,1.268,133.145,105.000,141.502,135.000,7.949
86,6.460,139.809,47.000,201.667,0.000,41.219
87,1.999,117.007,103.963,127.329,138.013,12.603
88,3.973,90.266,23.000,134.000,-90.000,25.293
89,5.899,140.703,93.825,171.248,-153.435,37.705
90,10.775,113.124,37.780,140.737,58.903,68.923
91,5.753,125.813,18.863,157.306,122.471,36.643
92,2.267,104.499,43.208,177.429,168.690,14.330
93,3.730,103.816,26.708,139.327,-18.435,23.699
94,2.828,113.726,25.159,184.598,173.991,17.897
95,2.657,152.577,38.802,216.593,19.440,16.888
96,6.143,114.557,23.770,159.289,11.041,39.133
97,4.754,101.476,65.348,138.206,-158.199,30.269
98,7.947,114.662,89.933,166.776,5.290,50.803
99,7.191,112.271,72.000,163.333,180.000,45.903
100,2.633,125.237,31.495,187.217,63.435,16.758
