 ,Area,Mean,Min,Max,Angle,Length
1,6.777,120.194,29.289,169.132,141.147,43.306
2,4.534,165.270,45.000,207.474,-76.866,28.859
3,8.215,117.595,40.667,174.810,21.991,52.536
4,18.844,139.156,71.308,208.508,-5.799,120.526
5,15.138,133.630,86.799,161.254,-85.006,96.857
6,16.284,123.302,83.835,148.770,52.306,104.182
7,14.821,131.096,43.667,193.232,66.727,94.838
8,6.826,121.267,60.048,156.165,81.347,43.589
9,10.604,97.597,28.870,133.237,40.515,67.774
10,4.680,93.101,59.788,117.242,131.186,29.875
11,7.996,113.103,72.350,137.752,-82.614,51.010
12,19.648,107.193,62.544,165.082,-63.435,125.684
13,2.511,103.110,37.333,134.000,0.000,15.925
14,4.095,141.015,28.000,184.714,-104.534,26.130
15,4.534,154.133,40.696,184.233,29.055,28.935
16,6.314,106.538,18.667,148.667,0.000,40.282
17,3.291,112.945,33.000,152.239,10.305,20.947
18,6.509,123.563,86.521,163.462,-28.301,41.495
19,3.925,111.104,68.968,136.372,145.713,24.944
20,3.437,118.626,25.516,211.995,-30.964,21.850
21,3.218,134.719,31.797,189.395,-74.055,20.460
22,4.217,126.017,88.260,186.930,12.095,26.826
23,4.290,134.000,98.000,160.653,112.166,27.312
24,5.436,106.389,37.988,132.425,141.582,34.674
25,5.436,93.877,16.054,162.077,51.582,34.674
26,5.729,99.957,21.817,129.380,-29.197,36.487
27,6.143,92.780,43.929,165.263,56.689,39.234
28,2.925,91.743,59.649,124.314,139.086,18.595
29,3.876,132.305,10.667,184.470,-127.304,24.732
30,11.287,113.323,45.667,145.368,60.440,72.157
31,6.557,133.593,82.492,173.630,-145.954,41.832
32,5.924,113.352,77.413,178.430,82.875,37.763
33,3.657,122.834,66.342,146.514,40.101,23.269
34,0.683,119.197,62.173,167.210,153.435,4.189
35,0.756,152.085,119.667,193.947,126.870,4.684
36,2.608,150.056,60.359,179.667,-42.709,16.574
37,3.998,126.723,82.000,158.381,36.027,25.483
38,2.730,125.863,70.073,168.112,139.399,17.274
39,10.799,139.172,68.333,175.964,97.800,69.024
40,8.751,126.545,63.000,164.098,166.430,55.894
41,4.997,94.023,37.333,141.667,90.000,31.851
42,3.827,113.586,57.069,144.712,-57.529,24.429
43,7.191,122.285,77.333,154.667,0.000,45.903
44,6.557,133.736,38.956,185.509,15.593,41.821
45,2.901,128.984,90.963,146.876,66.038,18.453
46,5.509,104.312,18.667,168.000,-145.886,35.077
47,6.582,119.756,24.000,170.157,-29.427,41.947
48,6.046,105.040,66.333,161.297,-14.036,38.625
49,5.631,93.416,33.519,135.408,19.855,35.856
50,3.120,95.222,66.667,151.099,81.870,19.872
51,3.535,120.493,41.963,167.413,106.928,22.522
52,3.510,140.104,75.555,191.090,33.024,22.346
53,3.047,122.630,32.409,142.001,104.036,19.312
54,5.436,144.121,77.667,178.934,108.925,34.661
55,3.535,84.955,55.056,119.750,-177.614,22.503
56,7.094,108.090,23.379,169.130,34.019,45.209
57,6.338,154.122,70.356,195.476,3.991,40.380
58,1.341,121.234,54.333,148.370,-173.660,8.483
59,6.216,118.654,57.211,176.888,19.290,39.701
60,3.559,108.466,55.626,129.224,65.556,22.639
61,7.338,145.850,20.667,186.573,92.291,46.877
62,4.875,119.259,21.543,174.764,74.291,31.140
63,4.851,119.154,35.202,186.384,93.468,30.971
64,2.072,99.806,56.071,130.810,85.914,13.149
65,3.267,112.139,23.198,148.351,-125.838,20.800
66,9.312,133.652,22.895,179.855,-19.290,59.551
67,4.169,78.797,26.694,125.703,98.130,26.496
68,7.289,122.513,100.413,156.063,80.727,46.511
69,5.826,98.750,29.000,142.911,139.086,37.190
70,2.974,151.245,121.964,185.917,98.531,18.945
71,2.584,123.753,48.290,140.150,-120.964,16.387
72,2.121,126.807,41.015,162.482,155.225,13.413
73,4.729,98.665,63.959,142.944,150.255,30.211
74,2.511,113.448,26.000,160.586,-61.928,15.925
75,7.654,99.741,65.106,144.550,106.699,48.902
76,13.091,88.176,21.791,142.844,-74.407,83.642
77,3.340,77.555,39.099,96.582,135.000,21.197
78,5.729,77.303,55.000,99.120,48.122,36.487
79,1.463,76.386,24.605,126.512,135.000,9.274
80,1.731,135.464,37.166,173.333,59.036,10.925
81,3.096,93.473,31.549,137.000,-64.654,19.695
82,6.241,101.770,12.258,149.383,74.982,39.767
83,3.364,124.553,74.667,152.156,156.801,21.403
84,6.362,109.396,56.623,150.187,-7.943,40.672
85,4.461,120.770,36.667,181.355,9.462,28.491
86,3.876,131.370,97.000,166.392,-24.624,24.732
87,1.487,108.537,36.767,144.333,174.289,9.415
88,4.315,98.349,60.780,138.098,162.181,27.552
89,2.365,136.835,85.000,179.000,0.000,14.989
90,3.559,130.964,87.667,165.462,-172.875,22.658
91,10.872,113.517,77.320,157.065,10.098,69.462
92,2.121,135.815,114.395,154.822,114.775,13.413
93,3.169,78.478,24.080,112.688,117.759,20.114
94,4.144,112.953,29.667,151.422,-62.526,26.397
95,4.534,79.648,46.449,117.772,125.754,28.859
96,7.630,91.102,50.333,133.757,-142.028,48.722
97,9.385,108.962,66.880,142.275,-157.036,60.028
98,5.558,124.976,72.000,161.675,12.200,35.462
99,1.633,124.960,20.000,187.333,180.000,10.305
100,1.194,142.418,91.667,183.000,-7.125,7.553
