 ,Area,Mean,Min,Max,Angle,Length
1,14.017,142.806,63.541,189.018,-6.911,74.673
2,9.006,117.595,65.499,178.915,129.289,47.891
3,5.747,91.155,16.893,144.626,-17.103,30.554
4,8.691,131.341,27.000,193.805,131.055,46.174
5,18.608,129.181,17.667,224.312,-37.648,99.299
6,8.480,111.451,37.036,190.612,4.289,45.054
7,15.069,77.052,42.788,178.188,153.435,80.369
8,10.338,176.953,61.361,213.054,-16.587,55.082
9,9.532,133.206,43.667,188.606,-35.096,50.792
10,6.623,131.566,49.780,195.873,97.352,35.108
11,10.758,78.903,42.754,139.044,74.055,57.239
12,20.220,90.464,47.278,142.305,-22.023,107.832
13,4.275,142.049,20.683,201.376,116.565,22.604
14,2.418,123.227,54.712,171.008,164.745,12.806
15,7.324,140.310,63.000,180.744,48.504,38.989
16,2.593,97.606,44.963,136.665,-9.462,13.664
17,4.240,112.279,41.598,172.807,72.474,22.379
18,7.920,109.621,61.125,169.234,-34.114,42.056
19,3.820,84.059,54.556,105.605,146.310,20.249
20,6.343,70.531,41.200,136.733,-178.091,33.714
21,2.838,107.833,39.000,128.660,116.565,15.069
22,3.715,76.893,34.852,133.184,-13.241,19.616
23,3.189,114.337,51.333,140.667,0.000,16.848
24,2.979,122.343,38.476,179.660,-21.038,15.644
25,6.133,69.186,34.287,107.212,43.603,32.572
26,7.289,92.869,41.000,155.503,163.142,38.730
27,4.836,94.666,59.104,119.066,37.875,25.613
28,3.189,100.617,26.667,176.000,-53.130,16.848
29,5.992,59.733,25.400,90.343,137.862,31.808
30,13.877,129.858,52.366,173.484,155.772,73.900
31,7.219,115.630,59.686,183.668,159.444,38.386
32,14.613,84.812,38.449,176.165,151.587,77.898
33,14.087,103.436,40.049,162.259,158.039,75.086
34,12.160,78.844,28.208,151.667,-20.323,64.678
35,8.586,101.134,18.533,141.739,-24.677,45.735
36,5.782,94.676,25.000,138.812,-28.443,30.657
37,7.044,112.235,45.905,212.124,-8.616,37.488
38,30.102,104.914,36.333,179.712,11.703,160.585
39,8.796,129.897,44.333,171.464,-44.029,46.865
40,4.486,119.111,45.149,154.563,171.870,23.826
41,5.782,129.153,71.770,175.508,171.573,30.657
42,6.588,139.172,19.923,186.492,140.194,35.090
43,9.532,99.401,35.994,160.055,-84.920,50.743
44,9.707,152.115,82.855,191.558,-178.755,51.679
45,2.663,86.380,49.898,119.000,151.390,14.074
46,6.238,151.387,58.000,204.786,-28.301,33.167
47,8.866,134.199,43.517,184.184,141.766,47.187
48,6.833,142.391,58.605,182.261,-16.189,36.257
49,17.031,82.805,30.667,136.739,7.829,90.701
50,1.962,62.429,34.544,99.580,139.399,10.355
51,2.558,70.688,48.667,101.000,175.236,13.525
52,4.030,95.739,24.333,124.667,180.000,21.341
53,2.909,60.701,30.081,83.618,162.897,15.277
54,7.639,135.016,36.831,172.997,48.366,40.575
55,2.348,108.900,52.333,185.333,180.000,12.355
56,0.806,87.260,44.207,132.333,56.310,4.050
57,2.138,130.279,28.333,198.333,90.000,11.232
58,4.696,79.801,46.565,145.254,144.162,24.939
59,4.345,158.174,76.333,191.068,46.975,23.046
60,9.076,160.467,94.667,193.333,0.000,48.297
61,1.717,73.694,39.333,103.667,180.000,8.986
62,2.558,103.014,61.333,166.333,180.000,13.478
63,7.569,102.920,55.992,168.717,-35.910,40.216
64,8.691,114.542,38.278,181.232,5.572,46.269
65,7.219,101.719,59.668,164.006,5.042,38.337
66,4.275,153.644,22.070,193.397,174.289,22.576
67,6.623,73.821,13.428,115.211,26.565,35.161
68,4.065,75.510,44.186,144.313,-27.897,21.605
69,2.768,144.213,68.586,170.667,112.620,14.601
70,6.798,100.929,34.000,171.099,172.875,36.222
71,5.502,122.748,24.583,177.763,15.642,29.160
72,5.256,89.480,46.018,144.111,139.899,27.899
73,6.763,101.665,38.224,137.557,-38.660,35.960
74,6.203,79.402,50.845,149.877,172.147,32.881
75,8.340,96.988,24.287,133.596,-163.856,44.433
76,4.871,69.835,14.362,132.116,-2.490,25.858
77,8.200,63.527,39.182,90.846,11.889,43.617
78,10.548,175.973,55.021,213.352,168.465,56.171
79,10.268,80.232,50.380,133.398,160.821,54.703
80,4.906,124.221,102.390,156.995,-172.569,26.052
81,4.065,96.710,27.377,147.405,8.973,21.605
82,4.766,107.164,53.764,141.701,-20.854,25.241
83,3.049,93.610,71.187,138.143,155.225,16.082
84,5.537,117.786,68.667,142.443,139.635,29.482
85,4.696,105.384,58.377,159.107,161.565,24.863
86,1.927,104.009,75.444,131.667,-6.340,10.171
87,6.308,105.049,36.300,187.852,166.430,33.508
88,5.537,144.292,74.306,168.398,-17.745,29.482
89,4.836,90.238,48.764,134.479,156.801,25.662
90,4.696,74.055,28.949,115.195,-172.235,24.939
91,4.065,84.797,38.116,136.425,117.897,21.605
92,2.698,54.039,37.056,71.673,161.565,14.207
93,6.518,78.212,33.133,143.300,13.134,34.601
94,6.168,148.281,80.241,190.799,84.094,32.746
95,7.009,118.395,36.660,177.849,-158.839,37.337
96,3.399,108.131,53.667,165.000,180.000,17.971
97,6.798,125.872,47.832,181.259,126.158,36.169
98,1.717,104.776,67.333,153.625,119.745,9.055
99,8.445,105.318,49.667,165.880,143.130,44.928
100,12.160,120.599,26.890,164.662,171.027,64.815
