 ,Area,Mean,Min,Max,Angle,Length
1,18.373,134.044,22.112,216.774,150.255,98.794
2,16.684,76.118,31.307,168.213,-26.565,89.675
3,10.273,169.417,37.383,216.950,-14.036,55.117
4,6.239,65.392,37.667,126.000,0.000,33.420
5,14.823,100.388,30.410,172.417,-26.565,79.711
6,10.514,92.041,44.667,153.177,170.910,56.408
7,7.377,129.082,67.000,173.128,139.574,39.511
8,3.895,92.661,16.782,151.771,-15.524,20.811
9,6.894,87.232,41.074,144.176,118.887,36.897
10,6.756,95.738,57.340,152.815,162.121,36.286
11,3.654,95.839,41.634,134.987,-13.241,19.455
12,6.722,105.220,61.715,163.635,-158.199,35.994
13,12.169,147.837,28.000,207.119,-13.799,65.385
14,7.480,128.456,46.333,167.778,133.877,40.181
15,3.551,90.431,43.780,183.488,135.000,18.905
16,15.064,90.746,29.694,174.883,-34.346,80.954
17,4.998,111.368,62.667,164.333,180.000,26.736
18,14.513,122.045,41.433,184.163,-21.801,77.988
19,1.344,73.400,39.419,104.106,161.565,7.046
20,2.516,103.014,61.333,166.333,180.000,13.368
21,7.894,120.080,36.667,172.333,180.000,42.332
22,7.377,100.800,46.000,133.448,-170.272,39.559
23,2.620,101.211,29.041,152.076,-61.390,13.958
24,4.171,82.796,43.000,153.000,180.000,22.280
25,3.861,92.874,56.463,148.819,-12.529,20.541
26,13.892,95.567,36.830,181.845,-17.354,74.696
27,7.963,118.237,30.885,177.552,40.764,42.653
28,5.688,154.419,99.860,182.439,171.573,30.406
29,2.827,107.414,80.889,129.049,48.013,14.987
30,7.067,134.215,41.000,198.000,0.000,37.876
31,3.999,128.524,49.400,177.830,6.009,21.283
32,7.515,100.064,52.424,128.416,-94.764,40.243
33,5.412,115.235,50.422,149.751,62.447,28.899
34,5.826,122.337,58.429,172.095,-2.045,31.212
35,7.446,134.051,60.775,175.820,59.859,39.933
36,5.205,95.238,44.333,142.000,180.000,27.850
37,6.101,128.066,59.326,181.148,-7.853,32.612
38,4.688,113.275,56.291,161.800,167.196,25.133
39,11.445,113.204,33.259,163.509,-35.417,61.512
40,7.618,95.649,57.301,156.376,25.866,40.855
41,11.720,161.804,74.129,213.399,-8.130,63.017
42,8.446,130.032,40.667,168.182,142.001,45.237
43,5.791,116.322,55.717,189.715,142.306,30.972
44,2.930,102.580,59.667,146.333,180.000,15.596
45,2.516,83.982,53.000,122.333,180.000,13.368
46,0.862,101.013,54.333,129.000,180.000,4.456
47,4.826,113.139,27.000,139.587,172.569,25.839
48,2.310,107.692,69.333,160.000,180.000,12.254
49,3.171,103.800,63.252,157.549,172.405,16.858
50,5.550,87.895,48.061,136.765,167.005,29.725
51,4.792,137.751,55.333,205.333,0.000,25.622
52,4.171,152.074,87.333,176.333,180.000,22.280
53,3.551,103.017,60.272,156.322,-40.236,18.971
54,10.100,131.201,60.829,170.064,170.538,54.209
55,3.551,179.091,149.333,203.281,118.072,18.938
56,3.102,98.096,76.416,181.767,132.274,16.561
57,2.103,145.328,67.000,176.333,180.000,11.140
58,1.896,112.024,62.333,139.333,180.000,10.026
59,5.860,66.878,29.952,114.468,163.496,31.370
60,7.274,108.469,54.600,162.000,143.130,38.990
61,2.654,116.604,44.667,168.333,161.565,14.091
62,7.825,128.934,57.332,216.645,169.287,41.949
63,10.583,132.981,55.312,188.331,23.051,56.901
64,9.376,88.085,34.000,141.451,3.814,50.241
65,19.959,103.405,17.086,193.728,9.560,107.320
66,29.577,104.566,23.350,177.098,9.265,159.149
67,11.789,122.581,55.517,199.073,113.860,63.341
68,11.617,79.152,30.310,130.164,-24.274,62.324
69,3.620,112.208,44.333,149.615,169.992,19.231
70,3.206,84.700,40.478,143.440,-11.310,17.041
71,2.930,51.500,31.690,74.667,-175.914,15.636
72,0.965,94.838,80.572,108.642,63.435,4.982
73,3.034,93.037,62.840,131.228,164.055,16.220
74,1.482,130.559,32.762,175.667,135.000,7.877
75,2.447,84.204,30.645,114.694,160.017,13.039
76,2.792,93.641,56.417,133.031,-167.005,14.863
77,1.793,149.371,86.000,165.784,135.000,9.453
78,3.964,87.327,39.491,157.667,176.987,21.195
79,5.309,86.292,35.667,154.484,135.000,28.358
80,8.618,118.578,58.000,154.062,160.253,46.160
81,7.791,98.915,51.637,127.748,138.240,41.816
82,1.655,93.592,78.245,117.586,50.194,8.701
83,2.103,144.367,104.667,169.667,174.289,11.195
84,4.033,108.349,27.000,156.798,-11.889,21.630
85,1.620,140.570,38.667,199.333,156.801,8.484
86,2.551,161.639,75.472,197.316,-9.462,13.552
87,4.378,88.339,44.667,125.333,180.000,23.394
88,0.862,97.587,84.000,115.333,90.000,4.456
89,5.412,115.962,56.333,172.667,180.000,28.964
90,12.341,105.427,29.735,150.949,-26.996,66.262
91,10.583,99.557,29.469,184.000,23.051,56.901
92,5.412,92.558,64.026,168.615,-175.601,29.049
93,4.998,103.208,51.000,163.833,4.764,26.829
94,7.480,95.146,26.333,177.000,90.000,40.104
95,7.653,128.007,56.063,213.578,102.529,41.082
96,0.655,108.754,63.333,150.667,0.000,3.342
97,1.999,113.884,36.695,146.801,147.995,10.509
98,7.446,112.037,27.073,182.705,116.565,39.855
99,9.411,107.301,61.917,192.648,97.595,50.573
100,6.791,124.204,58.958,194.640,23.429,36.423
