VgHLrz_coarse_1,VCu7Vn_fines_sam_1,VVNwsR_fines_stephen_1,VkaFBe_coarse_10,VRVRKY_fines_10,VrMpba_coarse_11,VKLmQi_fines_11,V6sq7w_2_2,Vl6DQ9__2,VvdqZX_1_3,VNXBdU_2_3,V8i0Zc_1_4,Vz9g5t_2_4,Vj8z7o_1_5,VXd4AJ_2_5,VdhDo3_coarse_6,VGbR9l_fines_6,VPIhzz_coarse_7,VzMh2H_fines_7,V13NEd_coarse_8,VzdZfH_fines_8,VI1lQ1_coarse_9,VDcsVY_fines_9
17,41,22,61,30,64,25,41,30,10,42,18,29,16,31,34,3,53,14,100,26,30,15
22,11,42,64,55,10,15,14,10,41,73,96,49,3,37,32,3,103,47,72,5,132,30
18,33,15,161,10,61,13,15,52,83,66,38,160,7,41,29,2,132,11,57,5,67,47
13,20,27,101,13,52,3,15,42,50,112,13,31,5,30,90,48,22,12,112,14,56,13
28,27,37,62,57,90,1,31,10,44,17,27,72,1,62,11,22,27,39,217,11,57,20
40,10,22,80,11,57,2,10,102,111,18,30,49,40,37,83,11,78,60,100,11,51,18
27,10,15,61,18,60,10,32,165,53,17,70,55,12,10,93,3,10,30,123,15,63,21
79,16,30,86,10,12,42,10,46,10,64,46,30,30,43,50,2,30,13,61,38,92,11
22,33,24,28,31,112,14,12,12,14,123,18,16,52,31,30,55,65,17,10,16,57,33
12,45,11,74,14,81,12,35,22,19,45,10,14,42,112,42,1,103,43,46,17,50,17
14,14,31,80,39,38,15,11,76,73,48,10,58,15,35,14,39,38,45,68,19,60,66
10,26,27,91,41,16,52,42,78,32,140,45,10,11,52,14,25,80,11,61,23,85,13
18,62,22,31,67,100,18,29,12,22,60,56,11,37,18,38,11,60,32,73,12,59,38
52,12,15,84,13,17,23,41,57,36,110,17,17,47,16,13,47,47,15,76,11,66,17
90,42,18,84,13,71,65,12,65,10,32,66,13,11,13,89,11,26,23,10,11,62,37
28,11,19,60,18,62,16,12,17,49,61,14,19,11,41,117,16,51,10,13,13,32,14
