VlF5Dg_full_1,VHXyP2_full_10,VsXPPv_finer_11,VDqmu8_full_12,VXQ2xc_coarse_13,VFiLgW_finer_13,VTtfxM_coarser_sam_14,VqDxq6_coarser_stephen_14,VF4fmT_finer_sam_14,VE0IWm_finer_stephen_14,V9g9OY_coarse_15,VrEuay_fines_15,VXT9sZ_coarse_16,VGtnEH_fines_16,V8eBDI_full_17,V3cieE_coarse_18,V3RQkd_fines_18,VWo6mR_full_2,VMbB2l_1_3,VMgD1b_2_3,VhjqXE_1_4,VcCtC7_2_4,Vu6fOQ_coarse_5,Vv9WuG_fines_5,VlatQF_coarse_6,VbnIco_fines_6
41,13,75,27,63,58,61,52,50,10,82,23,82,83,26,67,42,20,38,175,62,60,63,10,18,53
14,44,25,51,63,32,85,32,22,13,41,18,57,12,9,108,39,103,15,93,52,16,178,23,104,49
12,97,31,101,69,35,49,38,68,35,120,48,136,82,74,90,15,15,67,51,16,15,100,53,72,32
37,47,27,111,18,98,61,59,36,36,85,51,75,38,10,61,67,37,123,76,10,10,72,30,110,21
76,63,18,10,102,43,42,52,89,23,72,40,95,18,31,65,106,95,19,78,15,73,14,90,131,22
27,27,67,69,47,44,22,16,33,76,83,51,67,30,117,175,41,60,42,73,112,10,111,14,86,62
12,41,155,70,54,59,21,72,23,42,72,44,64,105,110,75,65,123,53,16,113,10,94,14,10,14
12,29,34,20,12,26,52,71,36,87,138,61,62,90,116,89,190,18,88,10,90,95,17,44,101,81
68,102,18,18,111,43,39,49,19,13,62,32,18,67,56,54,38,18,17,11,132,10,31,17,91,10
32,22,74,82,120,40,51,51,34,60,61,69,130,36,89,82,21,99,11,50,51,11,57,11,195,10
99,54,58,54,75,46,54,45,73,15,70,75,73,73,68,75,43,110,66,90,17,31,62,46,15,12
53,46,18,12,17,145,42,95,28,67,65,96,119,17,14,135,180,41,33,22,158,12,20,120,126,14
23,70,14,69,58,42,38,67,20,63,138,65,16,79,118,104,94,78,37,57,146,94,91,15,13,38
94,11,136,14,16,37,36,63,26,129,70,58,69,56,16,52,47,19,15,11,22,132,55,63,145,15
17,33,85,16,63,58,66,23,26,71,86,13,54,17,53,73,56,185,81,122,80,49,43,27,83,43
117,100,17,120,97,68,67,68,53,51,101,119,71,105,53,110,100,60,31,121,12,63,102,82,130,12
28,42,33,92,96,27,11,70,23,54,120,47,33,63,43,114,47,93,45,16,89,33,60,95,113,14
